link,address,apartment_name,sector,price,price_sqft,super_area,bedrooms,bathroom,balcony,additional_rooms,age_possession,floor,floor_num,total_floors,furnishing_type,facing,num_parking,features,servant_room,study_room,pooja_room,store_room,luxury_score,luxury_category,parking
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-2400-sq-ft-spid-Z81367047,"Shapoorji Pallonji Joyville Gurugram
Sector 102, Gurgaon",shapoorji pallonji joyville gurugram,sector 102,3.2,13333.3,2400.0,4,4,3+,,0 to 1 year old,18th   of 26 Floors,18,26,Semifurnished,East,"1 Covered, 1 Open","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",0,0,0,0,35,medium,2
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-palm-terraces-select-sector-66-gurgaon-2410-sq-ft-spid-D81237735,"Emaar Mgf Palm Terraces Select
Sector 66, Gurgaon",emaar mgf palm terraces select,sector 66,3.9,16182.6,2410.0,4,5,3,Servant Room,0 to 1 year old,8th   of 12 Floors,8,12,Semifurnished,East,"2 Covered, 2 Open","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']",1,0,0,0,36,medium,4
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-chintels-serenity-sector-109-gurgaon-2100-sq-ft-spid-Z81038349,"Chintels Serenity
Sector 109, Gurgaon",chintels serenity,sector 109,3.0,14285.7,2100.0,3,4,2,Servant Room,0 to 1 year old,12nd   of 20 Floors,12,20,Semifurnished,West,1 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",1,0,0,0,49,medium,1
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-eldeco-accolade-sohna-gurgaon-2122-sq-ft-spid-W81130047,"Eldeco Accolade
Sohna, Gurgaon",eldeco accolade,sohna,2.2,10367.6,2122.0,3,4,3+,Servant Room,0 to 1 year old,9th   of 12 Floors,9,12,Unfurnished,East,1 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",1,0,0,0,50,high,1
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-m3m-the-marina-sector-68-gurgaon-1584-sq-ft-spid-C81108991,"M3M The Marina
Sector 68, Gurgaon",m3m the marina,sector 68,1.85,11679.3,1584.0,2,2,3+,Study Room,1 to 5 year old,18th   of 21 Floors,18,21,Furnished,West,"1 Covered, 1 Open","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",0,1,0,0,64,high,2
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-the-marina-sector-68-gurgaon-1746-sq-ft-spid-C81084161,"M3M The Marina
Sector 68, Gurgaon",m3m the marina,sector 68,2.35,13459.3,1746.0,3,3,3,Others,1 to 5 year old,19th   of 27 Floors,19,27,Semifurnished,North-East,"1 Covered, 1 Open","['Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",0,0,0,0,61,high,2
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-skycity-sector-65-gurgaon-1828-sq-ft-spid-O80674983,"M3M Skycity
Sector 65, Gurgaon",m3m skycity,sector 65,3.4,18599.6,1828.0,3,3,3,,0 to 1 year old,12nd   of 47 Floors,12,47,Semifurnished,North-East,1 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",0,0,0,0,57,high,1
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-m3m-golfestate-sector-65-gurgaon-6171-sq-ft-spid-F80742271,"M3M Golfestate
Sector 65, Gurgaon",m3m golfestate,sector 65,15.9,25765.7,6171.0,4,4,3+,"Pooja Room,Study Room,Servant Room",1 to 5 year old,21st   of 40 Floors,21,40,Semifurnished,North,3 Covered,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",1,1,1,0,54,high,3
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-palm-terraces-select-sector-66-gurgaon-2410-sq-ft-spid-K80722459,"Emaar Mgf Palm Terraces Select
Sector 66, Gurgaon",emaar mgf palm terraces select,sector 66,4.25,17634.9,2410.0,4,5,3+,Servant Room,1 to 5 year old,5th   of 12 Floors,5,12,Semifurnished,North-West,2 Covered,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",1,0,0,0,44,medium,2
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-belaire-sector-54-gurgaon-4200-sq-ft-spid-A80791211,"DLF The Belaire
Sector 54, Gurgaon",dlf the belaire,sector 54,14.25,33928.6,4200.0,4,4,3,Servant Room,5 to 10 year old,20th   of 30 Floors,20,30,Semifurnished,na,3 Covered,"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",1,0,0,0,25,medium,3
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sheeba-apartments-chakkarpur-gurgaon-3200-sq-ft-spid-K79739597,"Sheeba Apartments
Chakkarpur, Gurgaon",sheeba apartments,chakkarpur,4.1,12812.5,3200.0,4,4,3+,Pooja Room,10+ year old,2nd   of 10 Floors,2,10,Unfurnished,North-West,"1 Covered, 1 Open","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Rain Water Harvesting']",0,0,1,0,31,medium,2
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-icon-dlf-phase-5-gurgaon-2575-sq-ft-spid-D80659417,"DLF The Icon
DLF Phase 5, Gurgaon",dlf the icon,dlf phase 5,8.5,33009.7,2575.0,4,4,3,"Servant Room,Pooja Room,Study Room",1 to 5 year old,8th   of 18 Floors,8,18,Semifurnished,North,2 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",1,1,1,0,41,medium,2
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-golfestate-sector-65-gurgaon-2979-sq-ft-spid-E80548505,"M3M Golfestate
Sector 65, Gurgaon",m3m golfestate,sector 65,6.1,20476.7,2979.0,3,3,3,,5 to 10 year old,6th   of 40 Floors,6,40,Semifurnished,East,2 Covered,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",0,0,0,0,38,medium,2
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-pinnacle-dlf-phase-5-gurgaon-3979-sq-ft-spid-K80193901,"DLF The Pinnacle
DLF Phase 5, Gurgaon",dlf the pinnacle,dlf phase 5,12.5,31414.9,3979.0,4,4,2,"Servant Room,Store Room",5 to 10 year old,3rd   of 19 Floors,3,19,Semifurnished,na,3 Covered,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",1,0,0,1,26,medium,3
