sector,price,super_area,bedrooms,bathroom,balcony,age_possession,servant_room,luxury_category,parking,building_type
sector 69,2.35,1578.0,3,3,2,1 to 5 year old,0,medium,1,mid-rise
sector 90,2.0,1719.0,3,3,3,1 to 5 year old,0,high,1,high-rise
sector 66,2.75,1920.0,3,4,2,5 to 10 year old,1,high,2,mid-rise
sector 103,1.48,1481.0,2,2,3+,1 to 5 year old,0,medium,2,mid-rise
sector 59,8.39,3395.0,4,4,3,0 to 1 year old,1,medium,1,high-rise
sector 51,2.65,2920.0,4,4,3+,5 to 10 year old,0,medium,2,mid-rise
sector 47,2.35,2600.0,4,4,3+,10+ year old,1,medium,2,mid-rise
dlf phase 5,8.0,2500.0,4,5,3,5 to 10 year old,1,medium,2,mid-rise
sector 28,9.9,3300.0,4,4,2,10+ year old,1,medium,2,mid-rise
suncity,2.9,2000.0,3,4,3,1 to 5 year old,1,medium,2,mid-rise
sector 85,1.7,1772.0,2,2,3,1 to 5 year old,0,high,1,high-rise
garauli khurd,2.18,1811.0,3,3,3,1 to 5 year old,0,high,2,mid-rise
garauli khurd,1.4,1603.0,3,3,3+,0 to 1 year old,0,high,2,mid-rise
sector 81,4.81,2872.0,4,4,3+,1 to 5 year old,1,high,3,high-rise
sector 48,3.15,1860.0,3,4,3+,5 to 10 year old,1,medium,0,mid-rise
sector 36a,4.85,2538.0,3,3,3+,1 to 5 year old,1,high,2,high-rise
sector 81,4.73,2872.0,4,4,3+,1 to 5 year old,1,high,3,high-rise
sector 86,2.17,1929.0,3,4,3+,1 to 5 year old,0,high,2,mid-rise
sector 102,3.68,3200.0,4,4,3+,1 to 5 year old,1,medium,3,mid-rise
sector 104,2.65,2290.0,3,4,3+,1 to 5 year old,1,medium,3,high-rise
sector 113,3.1,2217.0,3,3,3,1 to 5 year old,1,high,2,high-rise
sector 113,1.9,1276.0,2,2,3,0 to 1 year old,0,medium,2,mid-rise
sector 113,2.52,1580.0,2,2,2,1 to 5 year old,0,high,1,high-rise
sector 113,2.55,1580.0,2,2,3,1 to 5 year old,0,medium,3,high-rise
sector 103,1.93,1900.0,3,3,3+,1 to 5 year old,0,medium,0,mid-rise
sector 102,2.39,1852.0,3,3,3+,1 to 5 year old,0,medium,1,high-rise
sector 104,3.38,2450.0,3,4,3+,1 to 5 year old,1,medium,2,high-rise
sector 91,2.0,1930.0,3,3,3,5 to 10 year old,0,high,1,mid-rise
sector 91,2.05,1930.0,3,3,3,5 to 10 year old,0,high,1,mid-rise
sector 90,2.4,2364.0,4,4,3+,1 to 5 year old,1,high,1,mid-rise
sector 92,1.65,1883.0,4,3,2,5 to 10 year old,0,medium,2,mid-rise
sector 68,1.6,1260.0,2,2,3,1 to 5 year old,0,high,2,mid-rise
sector 68,2.8,1947.0,3,3,3+,1 to 5 year old,0,low,2,high-rise
sector 65,3.19,2343.0,3,3,3+,1 to 5 year old,1,high,3,mid-rise
sector 65,3.7,4473.0,4,3,3,1 to 5 year old,0,high,1,low-rise
sector 65,3.79,2804.5,4,4,3+,1 to 5 year old,1,high,2,mid-rise
sector 65,3.99,4260.0,4,3,3+,1 to 5 year old,1,high,2,low-rise
sector 65,3.69,2804.5,4,4,3+,1 to 5 year old,1,high,2,mid-rise
sector 65,3.9,2700.0,4,3,3,1 to 5 year old,1,high,2,low-rise
sector 65,3.65,2804.5,4,4,3+,1 to 5 year old,1,high,2,mid-rise
sector 65,3.7,2804.5,4,4,3+,1 to 5 year old,1,high,1,mid-rise
sector 65,3.99,2804.5,4,4,3+,1 to 5 year old,1,high,3,mid-rise
sector 70,1.75,1250.0,2,2,3,1 to 5 year old,0,high,1,mid-rise
sector 70,2.7,2150.0,3,3,3,1 to 5 year old,1,high,1,mid-rise
sector 65,3.91,2804.5,4,4,3,1 to 5 year old,1,high,2,low-rise
sector 65,3.11,2343.0,3,3,3,1 to 5 year old,1,high,1,mid-rise
