sector,price,super_area,bedrooms,bathroom,balcony,age_possession,servant_room,luxury_category,parking,building_type
sector 111,2.25,1874.0,3,3,3,1 to 5 year old,0,medium,1,mid-rise
sector 111,2.46,2049.0,3,3,3+,1 to 5 year old,0,high,1,mid-rise
sector 108,2.45,1381.0,2,2,2,1 to 5 year old,0,high,2,high-rise
sector 102,2.95,2180.0,4,4,3+,1 to 5 year old,1,high,2,high-rise
sector 111,7.1,4500.0,4,6,3+,1 to 5 year old,1,medium,3,mid-rise
sector 102,3.0,2161.0,4,4,3+,1 to 5 year old,1,medium,2,high-rise
sector 99,3.98,3360.0,4,4,3+,1 to 5 year old,1,high,3,mid-rise
sector 109,2.0,2177.0,3,3,3+,1 to 5 year old,1,medium,2,mid-rise
sector 109,2.1,2177.0,3,4,3+,1 to 5 year old,1,medium,0,mid-rise
sector 99,1.45,1365.0,2,2,3+,0 to 1 year old,0,medium,2,high-rise
sector 99,2.6,2835.0,4,5,3+,0 to 1 year old,1,medium,3,high-rise
sector 99,2.45,2835.0,4,5,3+,0 to 1 year old,1,medium,3,high-rise
sector 99,1.95,1685.0,3,3,3+,0 to 1 year old,0,medium,2,high-rise
sector 99,2.28,2400.0,3,5,3+,0 to 1 year old,1,medium,3,high-rise
sector 102,2.25,1689.0,3,3,3,1 to 5 year old,0,medium,3,mid-rise
sector 99,2.5,2425.0,4,4,3+,0 to 1 year old,1,medium,3,mid-rise
sector 104,2.21,1700.0,2,3,3,1 to 5 year old,1,medium,2,high-rise
sector 102,2.35,1689.0,3,3,3,1 to 5 year old,0,medium,2,high-rise
sector 112,8.15,6471.0,4,6,3+,1 to 5 year old,1,high,3,high-rise
sector 113,2.6,1579.0,3,3,2,1 to 5 year old,0,medium,1,high-rise
sector 113,2.65,1573.0,2,2,3,0 to 1 year old,0,medium,2,mid-rise
sector 113,3.08,2217.0,3,3,3,1 to 5 year old,1,high,2,high-rise
sector 113,1.92,1276.0,2,2,2,1 to 5 year old,0,high,2,high-rise
sector 113,2.5,1579.0,3,2,2,1 to 5 year old,0,high,2,high-rise
sector 113,3.7,2691.0,3,4,3+,1 to 5 year old,0,medium,2,high-rise
sector 112,5.6,3800.0,3,4,3+,1 to 5 year old,1,medium,2,high-rise
sector 108,4.5,2343.44,4,5,3+,0 to 1 year old,1,medium,2,high-rise
sector 112,4.7,2800.0,3,4,3,1 to 5 year old,1,high,2,high-rise
sector 102,1.73,1215.0,2,2,3,1 to 5 year old,0,medium,1,mid-rise
sector 112,4.25,2441.0,2,2,2,1 to 5 year old,1,high,2,high-rise
sector 112,9.51,7400.0,6,7,3+,1 to 5 year old,1,high,3,high-rise
sector 102,1.4,915.0,2,2,3,1 to 5 year old,0,medium,1,high-rise
sector 102,2.6,1889.0,3,4,3,1 to 5 year old,0,medium,1,high-rise
sector 109,2.45,2150.0,3,4,3,1 to 5 year old,1,medium,2,high-rise
sector 102,1.85,1650.0,3,3,3,1 to 5 year old,0,low,2,mid-rise
sector 102,1.9,1650.0,3,3,3,1 to 5 year old,1,medium,2,mid-rise
sector 102,3.4,3200.0,4,5,3+,1 to 5 year old,1,medium,3,mid-rise
sector 113,7.05,6565.0,5,5,3,1 to 5 year old,1,medium,4,high-rise
sector 113,3.9,2900.0,3,4,3,1 to 5 year old,1,high,3,high-rise
sector 108,2.2,2003.0,3,3,3+,1 to 5 year old,1,high,2,mid-rise
sector 107,2.16,2361.0,3,3,3+,1 to 5 year old,1,medium,2,mid-rise
sector 109,1.95,1880.0,3,3,3+,1 to 5 year old,0,medium,2,mid-rise
sector 103,1.55,1991.0,3,4,3+,1 to 5 year old,1,medium,1,mid-rise
sector 108,1.2,1500.0,2,2,3,1 to 5 year old,0,medium,1,mid-rise
sector 102,3.18,2579.0,3,4,3,1 to 5 year old,1,medium,1,high-rise
sector 102,4.5,6326.099999999999,4,4,3+,1 to 5 year old,0,high,3,low-rise
sector 108,2.22,2003.0,3,5,3+,1 to 5 year old,1,medium,2,mid-rise
sector 108,2.45,2338.0,3,3,3+,1 to 5 year old,0,medium,2,mid-rise
sector 108,3.3,2631.0,4,5,3+,1 to 5 year old,1,medium,2,mid-rise
sector 109,3.11,2100.0,3,4,3,0 to 1 year old,1,medium,1,mid-rise
sector 108,2.35,2003.0,3,4,3+,1 to 5 year old,1,medium,2,mid-rise
sector 109,1.75,1871.0,3,3,3,1 to 5 year old,0,high,2,mid-rise
sector 109,2.45,2836.0,4,4,3+,1 to 5 year old,1,medium,2,mid-rise
sector 106,1.8,1760.0,3,4,3+,1 to 5 year old,1,medium,1,high-rise
sector 106,1.7,1665.0,3,3,3,1 to 5 year old,0,medium,1,high-rise
sector 102,2.45,2025.0,3,4,3,1 to 5 year old,1,medium,2,mid-rise
sector 107,1.25,1366.0,2,2,3+,1 to 5 year old,0,medium,1,mid-rise
sector 108,2.2,2825.0,3,4,3,1 to 5 year old,1,medium,3,mid-rise
sector 106,1.8,1900.0,3,4,3,1 to 5 year old,1,medium,2,high-rise
sector 109,1.98,1750.0,3,3,3+,1 to 5 year old,0,medium,3,high-rise
sector 107,1.75,1943.0,3,3,3,1 to 5 year old,0,high,0,mid-rise
sector 109,3.15,2585.0,3,4,3+,1 to 5 year old,1,medium,3,high-rise
sector 108,2.8,2338.0,3,4,3+,1 to 5 year old,1,medium,2,mid-rise
sector 106,1.75,1760.0,3,4,3+,1 to 5 year old,1,medium,1,high-rise
sector 99a,2.0,1997.0,3,5,3+,0 to 1 year old,1,medium,1,mid-rise
sector 108,1.2,1422.0,2,2,2,5 to 10 year old,0,medium,1,mid-rise
sector 103,1.5,1423.0,2,2,3,1 to 5 year old,0,medium,2,mid-rise
sector 109,2.3,1745.0,3,3,3,1 to 5 year old,0,medium,2,high-rise
sector 112,5.75,3800.0,3,5,3+,1 to 5 year old,1,medium,2,high-rise
sector 103,1.95,2639.0,4,5,3+,1 to 5 year old,1,medium,1,mid-rise
sector 109,1.8,1871.0,3,3,3+,1 to 5 year old,0,medium,2,mid-rise
sector 99,1.95,2150.0,3,3,3+,0 to 1 year old,1,medium,1,mid-rise
sector 103,2.87,2875.0,4,6,3+,1 to 5 year old,1,high,2,high-rise
sector 99,2.55,2890.0,4,4,1,0 to 1 year old,1,medium,2,mid-rise
sector 99,1.85,1970.0,3,4,2,0 to 1 year old,1,medium,1,mid-rise
sector 108,1.9,1758.0,3,3,3+,1 to 5 year old,1,medium,2,mid-rise
sector 88a,2.24,2119.072248,3,3,3+,1 to 5 year old,0,medium,3,mid-rise
sector 88a,2.07,1791.0,3,3,3+,1 to 5 year old,0,medium,2,mid-rise
sohna,1.7,1720.0,3,3,3,1 to 5 year old,0,high,2,mid-rise
sector 84,1.55,1610.0,2,2,3+,1 to 5 year old,0,medium,1,mid-rise
sector 65,3.01,1980.9,3,3,3,1 to 5 year old,1,high,1,low-rise
sector 65,3.4,2804.5,4,4,3,1 to 5 year old,1,high,2,mid-rise
sector 65,2.98,2343.0,3,3,3,1 to 5 year old,1,high,0,mid-rise
sector 65,3.5,2054.0,3,3,3,0 to 1 year old,1,high,1,high-rise
sector 53,3.2,1245.0,2,2,2,0 to 1 year old,0,high,2,mid-rise
sector 65,12.45,4944.0,4,4,3+,1 to 5 year old,1,medium,0,mid-rise
sector 59,6.25,2595.0,3,3,3,0 to 1 year old,0,medium,2,high-rise
sector 59,5.15,2095.0,3,3,3,0 to 1 year old,1,high,1,high-rise
sector 59,8.3,3395.0,4,4,3+,0 to 1 year old,1,high,2,high-rise
sector 54,13.5,3065.0,4,4,3+,5 to 10 year old,1,high,2,high-rise
sector 104,2.45,1700.0,2,2,3,1 to 5 year old,1,high,1,high-rise
sector 56,2.25,2627.0,3,3,3,5 to 10 year old,0,medium,3,mid-rise
sector 65,2.7,1350.0,3,3,3+,5 to 10 year old,1,high,1,mid-rise
sector-33 sohna,2.54,1790.0,3,3,3+,0 to 1 year old,0,high,2,mid-rise
sector-33 sohna,2.63,1790.0,3,3,3+,0 to 1 year old,0,high,2,mid-rise
sector-33 sohna,2.52,1789.0,3,3,3,0 to 1 year old,0,high,2,mid-rise
sector 107,0.47,925.0,2,2,2,0 to 1 year old,0,medium,1,mid-rise
sector 83,1.65,1735.0,3,2,1,5 to 10 year old,0,medium,0,mid-rise
sector 102,2.62,1852.0,3,3,3,0 to 1 year old,0,medium,1,high-rise
sector 54,15.5,4645.0,4,4,3+,1 to 5 year old,1,high,3,mid-rise
sector 92,2.3,1920.0,3,3,3,1 to 5 year old,0,high,2,mid-rise
sector 104,3.5,2450.0,3,4,3+,1 to 5 year old,1,high,2,high-rise
sector 109,2.35,1745.0,3,3,3,1 to 5 year old,0,high,1,mid-rise
sector 102,1.84,1650.0,3,3,3,1 to 5 year old,1,high,1,mid-rise
sector 102,2.45,1889.0,3,4,3,1 to 5 year old,1,medium,2,high-rise
sector 102,2.4,1669.0,3,3,3+,1 to 5 year old,0,medium,2,high-rise
sector 68,1.85,1483.0,3,2,3+,0 to 1 year old,0,medium,3,high-rise
sector 69,2.65,2400.0,4,5,3+,1 to 5 year old,1,high,2,mid-rise
sector 69,1.46,1882.92,3,2,3,1 to 5 year old,0,medium,1,mid-rise
sector 69,1.48,1882.92,3,2,3,5 to 10 year old,0,high,1,mid-rise
sector 66,3.12,1872.0,3,3,3,5 to 10 year old,0,high,2,mid-rise
sector 69,2.45,1578.0,3,3,2,5 to 10 year old,0,medium,1,mid-rise
sector 69,2.64,2400.0,4,5,3,5 to 10 year old,1,high,2,mid-rise
sector 70,2.35,1950.0,3,5,3,1 to 5 year old,1,high,1,mid-rise
sector 70,4.4,4600.0,5,7,3+,5 to 10 year old,1,medium,2,mid-rise
sector 70,4.4,4600.0,5,7,3+,1 to 5 year old,0,high,2,mid-rise
sector 67,4.4,2440.0,3,3,3,5 to 10 year old,1,high,2,high-rise
sector 70,1.49,1137.0,3,2,2,5 to 10 year old,0,high,1,mid-rise
sector 69,2.63,2400.0,4,5,3+,1 to 5 year old,1,high,2,mid-rise
sector 65,3.5,2004.0,3,3,3,5 to 10 year old,1,high,2,high-rise
sector 69,2.4,1578.0,3,3,2,5 to 10 year old,0,medium,1,mid-rise
nirvana country,2.55,1550.0,2,2,2,5 to 10 year old,0,medium,2,mid-rise
nirvana country,2.55,1550.0,2,2,2,5 to 10 year old,0,high,2,mid-rise
sector 65,2.2,1261.0,2,2,3,0 to 1 year old,0,medium,1,high-rise
sector 65,4.15,2700.0,4,4,3,1 to 5 year old,1,medium,2,low-rise
sector 69,2.65,2400.0,4,5,3+,1 to 5 year old,1,medium,2,mid-rise
sector 70,4.81,3850.0,5,6,3+,1 to 5 year old,1,high,2,mid-rise
sector 70,2.84,2400.0,4,5,3+,1 to 5 year old,1,high,2,mid-rise
nirvana country,2.65,1815.0,3,3,3,5 to 10 year old,1,high,2,mid-rise
sector 65,3.6,2040.0,3,3,3,0 to 1 year old,1,medium,1,high-rise
sector 65,3.38,1828.0,3,3,2,0 to 1 year old,0,medium,1,high-rise
sector 70,4.59,4600.0,5,7,3+,1 to 5 year old,1,high,2,mid-rise
sector 69,2.82,2400.0,4,5,3+,1 to 5 year old,1,high,2,mid-rise
sector 69,2.44,1704.0,3,3,3+,0 to 1 year old,0,high,1,high-rise
sector 69,2.75,2400.0,4,5,3+,1 to 5 year old,1,medium,2,mid-rise
sector 67,4.3,2685.0,4,5,3+,5 to 10 year old,1,high,2,mid-rise
sector 65,3.4,2054.0,3,4,2,0 to 1 year old,1,medium,1,high-rise
sector 54,6.9,1975.0,3,4,3+,10+ year old,1,high,2,high-rise
sector 102,2.5,2627.0,3,3,3,1 to 5 year old,0,medium,2,high-rise
sector 63a,3.6,2150.0,3,3,2,1 to 5 year old,0,medium,4,low-rise
sector 3,1.5,1444.0,2,2,3+,0 to 1 year old,0,high,1,mid-rise
sector 85,2.3,2560.0,4,5,3+,1 to 5 year old,1,high,2,mid-rise
sector 113,1.85,1330.0,2,2,3+,1 to 5 year old,0,medium,2,high-rise
sector 113,1.85,1330.0,2,2,3+,1 to 5 year old,0,medium,2,high-rise
sector 106,1.9,2355.0,4,6,3+,5 to 10 year old,1,medium,2,high-rise
sector 110 a,1.44,990.0,2,2,2,1 to 5 year old,0,medium,0,mid-rise
sector 92,1.25,1326.0,3,3,3,5 to 10 year old,0,medium,1,mid-rise
sector 56,2.5,1850.0,3,3,3+,10+ year old,1,medium,2,mid-rise
sector 92,1.09,1186.0,2,2,2,0 to 1 year old,0,high,1,low-rise
sector 86,2.01,1930.0,3,3,3,5 to 10 year old,1,high,1,mid-rise
sector 84,1.75,1750.0,3,3,3,1 to 5 year old,0,medium,1,mid-rise
sector 95a,0.8,913.06,3,2,2,1 to 5 year old,0,medium,0,mid-rise
sector 91,2.25,2320.0,3,4,3+,5 to 10 year old,1,high,2,mid-rise
sector 59,6.3,2595.0,3,3,3,1 to 5 year old,1,high,2,high-rise
sector 102,2.25,2025.0,3,4,2,1 to 5 year old,1,high,2,mid-rise
sector 102,2.3,1692.0,3,3,3,1 to 5 year old,0,high,2,mid-rise
sector 102,3.3,3198.0,4,4,3,1 to 5 year old,1,high,0,high-rise
sector 102,1.37,915.0,2,2,2,1 to 5 year old,0,high,1,mid-rise
sector 102,1.32,915.0,2,2,2,1 to 5 year old,0,high,1,mid-rise
sector 103,1.55,1991.0,3,4,3+,1 to 5 year old,1,medium,3,mid-rise
sector 65,8.15,3515.0,3,3,3+,1 to 5 year old,1,high,4,high-rise
sector 54,8.2,3160.0,4,6,2,1 to 5 year old,1,high,4,mid-rise
sector 65,12.5,4992.0,5,5,3+,1 to 5 year old,1,high,4,high-rise
sector 59,6.7,3030.0,3,4,3+,1 to 5 year old,1,high,4,high-rise
sector 65,3.84,2054.0,3,3,3+,1 to 5 year old,1,high,4,high-rise
sector 65,2.6,1416.0,2,2,2,1 to 5 year old,1,high,2,high-rise
sector 71,0.85,768.0637999999999,2,2,1,under construction,0,low,0,mid-rise
sohna,1.3,1350.0,2,2,3,0 to 1 year old,0,medium,1,mid-rise
sector 59,6.2,3684.9,3,3,2,1 to 5 year old,1,medium,4,high-rise
sector 85,0.7,839.4329999999999,2,2,1,0 to 1 year old,0,medium,1,mid-rise
sector 82,2.43,2535.0,4,5,3+,1 to 5 year old,1,high,3,high-rise
sector 67a,2.62,1933.0,3,4,2,0 to 1 year old,1,high,4,mid-rise
sector 67a,2.05,1484.0,2,2,2,0 to 1 year old,0,high,2,mid-rise
sector 67a,1.7,1296.0,2,2,2,0 to 1 year old,0,high,2,mid-rise
sector 102,2.5,1852.0,3,3,3,1 to 5 year old,0,high,2,high-rise
sector 90,2.95,2727.0,4,4,3+,1 to 5 year old,0,high,2,mid-rise
sector 82a,3.6,2086.0,3,4,3+,1 to 5 year old,1,high,3,high-rise
sector 90,2.95,2727.0,4,4,3+,1 to 5 year old,1,high,2,mid-rise
sector 67a,2.27,1727.0,3,3,2,0 to 1 year old,0,high,3,mid-rise
sector 67a,1.65,1296.0,2,2,2,0 to 1 year old,0,high,2,mid-rise
sector 106,1.61,1665.0,3,3,3,1 to 5 year old,0,high,1,high-rise
sector 106,1.88,2355.0,4,6,3+,1 to 5 year old,1,high,2,high-rise
sector 106,1.87,2355.0,4,6,3+,1 to 5 year old,1,high,2,high-rise
sector 106,1.93,2355.0,4,6,3+,1 to 5 year old,1,high,2,high-rise
nirvana country,2.24,1418.0,2,2,3+,5 to 10 year old,0,medium,1,mid-rise
sector 70a,2.91,1830.0,3,3,3+,5 to 10 year old,1,medium,1,mid-rise
nirvana country,2.65,1629.0,3,2,3+,10+ year old,0,medium,1,mid-rise
nirvana country,2.7,1877.0,3,4,3+,10+ year old,1,medium,1,mid-rise
sector 81,1.75,1645.0,3,2,3+,1 to 5 year old,0,high,1,mid-rise
sector 37d,1.07,1380.0,2,2,3,1 to 5 year old,0,medium,1,mid-rise
sector 86,0.67,711.42,2,2,2,1 to 5 year old,0,medium,0,mid-rise
sector 82,2.1,1880.0,3,3,3,1 to 5 year old,0,high,1,mid-rise
sector 82,1.6,1420.0,2,2,2,1 to 5 year old,0,high,1,mid-rise
sector 81,2.2,1810.0,3,3,3+,5 to 10 year old,0,high,1,mid-rise
sector 79,2.0,1620.0,3,3,2,1 to 5 year old,0,high,1,high-rise
sector 86,0.7,711.42,2,2,2,1 to 5 year old,0,medium,0,mid-rise
sector 106,2.8,2634.1,3,3,2,0 to 1 year old,1,high,1,high-rise
sector 106,2.55,1741.370424,3,3,3,0 to 1 year old,1,high,1,high-rise
sector 84,0.9,1200.0,2,2,3,1 to 5 year old,0,medium,1,mid-rise
sector 95,0.56,863.2605999999998,2,2,1,1 to 5 year old,0,medium,0,mid-rise
sector 106,2.5,2262.06,3,3,2,under construction,0,medium,2,low-rise
sector 66,3.0,2062.0,3,3,3,1 to 5 year old,1,high,2,mid-rise
sector 85,3.1,3023.18,3,3,2,under construction,1,medium,1,high-rise
sector 30,7.0,3984.52,3,3,2,5 to 10 year old,0,low,2,mid-rise
sector 84,2.5,2250.0,3,4,3,1 to 5 year old,1,high,3,mid-rise
sector 49,1.66,1296.0,2,2,3,5 to 10 year old,0,medium,0,mid-rise
sector 69,5.79,3819.8,3,4,3,under construction,1,medium,1,high-rise
sector 104,1.65,1560.58,2,2,2,0 to 1 year old,0,medium,1,high-rise
sector 83,1.02,1050.0,2,2,3,1 to 5 year old,0,high,1,mid-rise
sector 112,4.9,2802.0,3,3,3+,1 to 5 year old,1,medium,0,high-rise
sector 79,1.55,1615.9599999999998,2,2,2,under construction,0,low,1,low-rise
sector 92,1.31,1498.0,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 67a,0.78,1136.0,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 37d,1.4,1990.0,3,3,3+,1 to 5 year old,1,medium,1,mid-rise
sector 108,4.77,2434.0,4,4,2,under construction,0,medium,2,high-rise
sector 77,1.28,1342.0,2,2,2,1 to 5 year old,0,high,1,mid-rise
sector 85,1.17,1312.0,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 99,1.7,1865.0,3,3,3,1 to 5 year old,0,high,2,mid-rise
sector 104,1.9,2324.0,4,5,3+,1 to 5 year old,1,high,1,mid-rise
sector 109,3.25,2375.0,3,4,3+,0 to 1 year old,1,medium,1,mid-rise
sector 109,1.9,1590.0,3,3,3,1 to 5 year old,0,high,2,mid-rise
sector 85,1.2,1485.0,3,4,3,1 to 5 year old,1,medium,1,mid-rise
sector 111,4.7,1880.08,3,3,3+,under construction,1,high,2,high-rise
sector 63a,0.95,820.2771999999999,2,2,3,1 to 5 year old,0,medium,0,mid-rise
sector 82,1.58,1430.0,3,3,3+,1 to 5 year old,0,high,1,mid-rise
sector 84,1.55,2095.0,4,4,3+,1 to 5 year old,0,medium,1,mid-rise
sector 58,7.8,2864.0,4,4,3,5 to 10 year old,1,high,2,high-rise
sector 83,1.9,2811.6,3,3,2,5 to 10 year old,1,medium,1,mid-rise
sector 36a,2.7,1479.0,2,2,3+,0 to 1 year old,0,high,2,high-rise
sector 107,0.85,854.8399999999999,2,2,1,1 to 5 year old,0,medium,0,mid-rise
sector 36a,2.66,1479.0,2,2,3+,0 to 1 year old,0,high,2,high-rise
sector 54,10.5,4970.0,4,4,3+,10+ year old,1,medium,2,mid-rise
sector 65,3.5,2002.2,3,3,3,1 to 5 year old,0,medium,0,mid-rise
sector 43,3.95,2650.0,4,4,3+,1 to 5 year old,0,high,2,mid-rise
sector 84,0.9,1200.0,2,2,2,1 to 5 year old,0,medium,0,mid-rise
sector 95,0.63,916.3118,2,2,2,1 to 5 year old,0,medium,0,mid-rise
sector 95,0.56,779.8072,2,2,1,1 to 5 year old,0,medium,0,mid-rise
sector 37d,1.1,810.9904,2,2,3,0 to 1 year old,0,low,1,mid-rise
sector 63a,2.0,1050.0,2,2,2,0 to 1 year old,0,low,1,low-rise
sector 78,1.85,1730.0,3,3,2,1 to 5 year old,0,medium,1,mid-rise
sushant lok phase 3,2.4,2445.5808,3,2,2,1 to 5 year old,1,medium,2,low-rise
sohna,1.1,1210.0,3,2,3+,1 to 5 year old,0,high,2,low-rise
sector 22,2.9,1380.0,2,2,2,0 to 1 year old,0,high,0,mid-rise
sector 67a,0.715,839.2199999999999,2,2,1,1 to 5 year old,0,high,2,mid-rise
sector 67a,0.715,822.18,2,2,1,1 to 5 year old,0,high,2,mid-rise
sector 67a,0.725,839.2199999999999,2,2,1,1 to 5 year old,0,high,2,mid-rise
sector 67a,0.71,849.16,2,2,1,1 to 5 year old,0,high,2,mid-rise
sector 48,4.85,5871.7,5,6,3+,1 to 5 year old,1,medium,2,mid-rise
sector 37c,1.85,2600.0,4,6,3+,0 to 1 year old,0,high,2,high-rise
sector 57,4.56,2558.0,3,4,3+,5 to 10 year old,1,medium,2,mid-rise
sector 70,1.4,1137.0,3,2,2,5 to 10 year old,0,high,1,mid-rise
sector 82,1.55,1430.39,2,2,2,5 to 10 year old,0,high,1,mid-rise
sector 82,2.15,1880.0,3,3,3,5 to 10 year old,0,high,1,mid-rise
sector 72a,6.0,4632.0,4,5,3+,0 to 1 year old,1,medium,0,mid-rise
sector 82,1.39,1300.0,2,2,2,5 to 10 year old,0,high,1,mid-rise
sector 37c,0.6,810.0,2,2,1,1 to 5 year old,0,medium,2,mid-rise
sector 109,2.65,1955.0,3,4,3+,0 to 1 year old,1,high,2,mid-rise
sector 103,1.6,1481.0,2,2,3,5 to 10 year old,0,medium,1,mid-rise
sector 82,1.52,1430.0,3,3,3+,1 to 5 year old,0,high,1,mid-rise
sector 82,1.55,1430.0,3,3,3+,1 to 5 year old,0,high,1,mid-rise
sector 49,5.12,3569.8799999999997,3,4,3,under construction,1,medium,2,high-rise
sector 93,1.45,894.5999999999999,2,2,2,under construction,0,medium,1,low-rise
sector 28,1.78,1210.0,2,2,3+,10+ year old,0,medium,1,mid-rise
sector 90,1.65,1875.0,3,4,3,1 to 5 year old,1,medium,2,mid-rise
sector 109,1.72,1871.0,3,4,3+,1 to 5 year old,0,medium,2,mid-rise
sector 102,2.65,1942.0,3,4,3+,1 to 5 year old,1,medium,2,high-rise
sector 109,2.4,2836.0,4,4,3+,1 to 5 year old,1,high,2,mid-rise
sector 82,1.86,1790.0,3,4,2,5 to 10 year old,1,medium,1,mid-rise
sector 109,1.89,2165.0,3,3,3+,1 to 5 year old,1,high,2,mid-rise
sector 103,1.75,2107.2799999999997,3,2,3,1 to 5 year old,0,medium,1,mid-rise
sector 33,2.6,1875.0,3,3,3+,10+ year old,1,medium,1,mid-rise
sector 106,2.05,1430.0,2,2,2,1 to 5 year old,0,medium,1,high-rise
sector 85,2.65,2560.0,4,5,3+,1 to 5 year old,1,low,2,mid-rise
sector 69,2.25,1578.0,3,3,2,1 to 5 year old,0,high,1,mid-rise
sector 65,6.0,2499.0,3,3,3,1 to 5 year old,1,high,1,high-rise
sector 65,8.6,3510.0,3,4,1,1 to 5 year old,1,high,2,high-rise
sector 82a,2.7,1818.0,3,3,3+,1 to 5 year old,0,high,2,high-rise
sector 95,0.65,916.3118,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 102,2.3,2025.0,3,4,3+,1 to 5 year old,1,high,2,mid-rise
sector 108,1.45,1282.0,2,3,3,1 to 5 year old,1,high,2,mid-rise
sector 71,0.55,520.4016,1,1,2,1 to 5 year old,0,medium,1,low-rise
sector 88a,1.9,2037.5,3,2,3+,0 to 1 year old,0,medium,1,mid-rise
sector 61,5.79,2310.979,4,4,3+,under construction,1,low,0,high-rise
sector 89,1.65,2121.48,3,3,3,0 to 1 year old,0,medium,0,low-rise
sector 102,3.2,2162.0,4,4,3+,0 to 1 year old,0,medium,2,high-rise
sector 79,3.3,2350.0,3,3,3,under construction,0,medium,2,low-rise
sector 99a,2.12,1732.4,3,5,3+,0 to 1 year old,1,medium,1,mid-rise
sector 50,1.7,1476.8,2,2,1,10+ year old,0,medium,2,mid-rise
sector 79,1.5,1138.0,2,2,2,under construction,0,low,1,low-rise
sector 65,10.5,4473.0,3,3,3,under construction,0,medium,0,high-rise
sector 92,1.08,1491.0,2,2,2,under construction,0,medium,1,low-rise
sector 43,3.9,2480.0,4,4,3+,10+ year old,0,medium,2,mid-rise
sector 53,5.95,2895.0,3,5,3+,1 to 5 year old,1,medium,2,mid-rise
sector 61,3.25,1679.0,3,3,2,under construction,0,high,1,low-rise
sector 92,1.35,1882.92,3,2,2,0 to 1 year old,0,low,1,mid-rise
sector 51,2.64,2920.0,4,4,3,5 to 10 year old,0,medium,2,mid-rise
sector 86,2.23,1929.0,3,3,3+,1 to 5 year old,0,high,2,mid-rise
sector 59,4.5,2910.0,3,4,3+,1 to 5 year old,1,high,2,mid-rise
sector 43,2.35,2556.0,3,3,3,10+ year old,0,low,2,mid-rise
sector 92,1.3,1935.0,3,4,3,0 to 1 year old,1,high,1,mid-rise
sector 65,9.8,4366.0,4,4,3+,1 to 5 year old,1,high,4,high-rise
sector 79,1.8,1525.0,3,3,2,under construction,0,low,1,low-rise
sector 103,1.9,2639.0,4,5,3+,1 to 5 year old,1,medium,1,mid-rise
sector 81,1.45,1530.0,3,3,3,5 to 10 year old,0,medium,1,mid-rise
nirvana country,3.3,2093.0,3,3,3,5 to 10 year old,0,high,2,mid-rise
sector 79,2.75,2150.0,3,4,3+,0 to 1 year old,1,high,1,mid-rise
sector 93,0.66,628.0,2,2,3,0 to 1 year old,0,medium,1,mid-rise
sector 63a,2.6,1774.0,3,3,2,0 to 1 year old,1,medium,1,low-rise
sector 37d,1.4,1448.4,2,2,3,under construction,0,medium,1,low-rise
sector 78,2.03,1854.0,3,4,2,5 to 10 year old,0,medium,1,mid-rise
sector 76,1.7,1952.0,3,4,3+,1 to 5 year old,1,medium,1,mid-rise
sector 79,1.4,1530.0,2,2,3,1 to 5 year old,0,medium,1,mid-rise
sector 65,2.4,1358.0,2,2,3,1 to 5 year old,0,medium,3,high-rise
sector 58,5.7,2427.0,3,3,2,1 to 5 year old,1,medium,2,high-rise
sohna,1.35,1380.0,2,2,2,under construction,0,medium,1,mid-rise
sector 66,2.0,1442.0,3,3,3+,1 to 5 year old,0,high,1,mid-rise
sector 107,0.5,350.0,1,1,2,1 to 5 year old,0,medium,3,low-rise
sector 66,2.25,1287.0,2,2,2,5 to 10 year old,0,high,2,mid-rise
sector 113,3.05,2217.0,3,3,3+,1 to 5 year old,1,high,2,high-rise
sector 58,5.1,2156.0,3,4,1,10+ year old,1,medium,0,high-rise
sector 86,1.65,1615.0,2,2,3+,5 to 10 year old,1,high,1,mid-rise
sector 109,2.35,1745.0,3,3,3,1 to 5 year old,0,medium,2,high-rise
palam vihar,1.5,1874.4,3,2,1,0 to 1 year old,0,medium,2,low-rise
sector 91,2.6,2320.0,3,3,3+,1 to 5 year old,0,high,2,low-rise
sector 89,1.19,1142.0,2,2,2,0 to 1 year old,0,high,1,low-rise
sector 84,1.38,1270.0,2,2,3,1 to 5 year old,0,medium,1,high-rise
sector 1a imt manesar,1.5,1950.0,3,4,2,5 to 10 year old,1,low,1,mid-rise
sector 70a,3.5,2150.0,3,3,3,1 to 5 year old,0,medium,2,high-rise
sector 104,3.9,2450.0,3,4,3+,1 to 5 year old,1,high,2,high-rise
sector 103,0.45,505.7756,1,1,2,1 to 5 year old,0,low,1,mid-rise
sector 78,2.0,1854.0,3,3,3,5 to 10 year old,1,high,1,mid-rise
sector 77,1.8,1822.0,3,3,3,1 to 5 year old,0,high,1,mid-rise
sector 90,2.5,2727.0,4,4,3+,1 to 5 year old,1,medium,2,high-rise
sector 108,1.8,1758.0,3,3,3+,1 to 5 year old,1,high,2,mid-rise
sector 90,2.38,2364.0,4,4,3+,1 to 5 year old,1,medium,1,mid-rise
sector 59,5.51,2624.0,3,4,3+,under construction,1,medium,4,high-rise
