,link,address,price,super_area,bedrooms,bathroom,balcony,additional_rooms,age_possession,floor,furnishing_type,facing,num_parking,features
6973,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-merlin-sector-67-gurgaon-2358-sq-ft-spid-F80938791,"M3M Merlin
Sector 67, Gurgaon",4.21 Cr,2358.0,3 Bedrooms,4 Bathrooms,3 Balconies,"Servant Room,Pooja Room,Study Room",1 to 5 Year Old,7th   of 21 Floors,Semifurnished,East,"2 Covered, 1 Open","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
6974,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-m3m-merlin-sector-67-gurgaon-3341-sq-ft-spid-E80950695,"M3M Merlin
Sector 67, Gurgaon",5.6 Cr,3341.0,4 Bedrooms,5 Bathrooms,3 Balconies,Servant Room,1 to 5 Year Old,10th   of 21 Floors,Semifurnished,East,"2 Covered, 2 Open","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
6976,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-regency-park-2-dlf-phase-4-gurgaon-1700-sq-ft-spid-J80788425,"DLF Regency Park 2
DLF Phase 4, Gurgaon",3.65 Cr,2414.0,3 Bedrooms,3 Bathrooms,2 Balconies,"Pooja Room,Study Room,Servant Room",10+ Year Old,4th   of 21 Floors,Semifurnished,East,"2 Covered, 1 Open","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
6977,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-primus-sector-82a-gurgaon-2273-sq-ft-spid-N80763105,"DLF The Primus
Sector 82A, Gurgaon",3.9 Cr,2273.0,4 Bedrooms,4 Bathrooms,3+ Balconies,,1 to 5 Year Old,6th   of 32 Floors,Semifurnished,North,"2 Covered, 1 Open","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
6978,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ireo-the-corridors-sector-67a-gurgaon-1484-sq-ft-spid-A80744067,"Ireo The Corridors
Sector 67A, Gurgaon",2 Cr,1484.0,2 Bedrooms,2 Bathrooms,2 Balconies,Study Room,1 to 5 Year Old,7th   of 19 Floors,Semifurnished,North,"1 Covered, 1 Open","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
6979,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ireo-the-corridors-sector-67a-gurgaon-1727-sq-ft-spid-X80744419,"Ireo The Corridors
Sector 67A, Gurgaon",2.48 Cr,1727.0,3 Bedrooms,3 Bathrooms,2 Balconies,Others,1 to 5 Year Old,8th   of 19 Floors,Semifurnished,North,"1 Covered, 1 Open","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
6980,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ireo-the-corridors-sector-67a-gurgaon-1877-sq-ft-spid-W80744859,"Ireo The Corridors
Sector 67A, Gurgaon",2.6 Cr,1877.0,3 Bedrooms,3 Bathrooms,2 Balconies,"Others,Study Room",1 to 5 Year Old,9th   of 19 Floors,Semifurnished,North-West,"1 Covered, 1 Open","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
6981,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-shree-vardhman-flora-sector-90-gurgaon-2750-sq-ft-spid-X80549677,"Shree Vardhman Flora
Sector 90, Gurgaon",2.4 Cr,2750.0,4 Bedrooms,5 Bathrooms,2 Balconies,"Study Room,Servant Room,Pooja Room",1 to 5 Year Old,7th   of 13 Floors,Unfurnished,West,"1 Covered, 1 Open","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
6982,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-emerald-floors-premier-sector-65-gurgaon-1975-sq-ft-spid-G80611267,"Emaar MGF Emerald Floors Premier
Sector 65, Gurgaon",3.8 Cr,2804.5,4 Bedrooms,4 Bathrooms,3 Balconies,"Study Room,Servant Room",1 to 5 Year Old,2nd   of 4 Floors,Semifurnished,South-West,"1 Covered, 1 Open","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
6983,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ireo-skyon-sector-60-gurgaon-2045-sq-ft-spid-A80538573,"Ireo Skyon
Sector 60, Gurgaon",3.99 Cr,2045.0,3 Bedrooms,4 Bathrooms,3+ Balconies,Servant Room,1 to 5 Year Old,Ground of 39 Floors,Semifurnished,North-West,"2 Covered, 1 Open","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Piped-gas', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
6984,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-m3m-merlin-sector-67-gurgaon-3297-sq-ft-spid-O80554459,"M3M Merlin
Sector 67, Gurgaon",5.8 Cr,3297.0,4 Bedrooms,4 Bathrooms,3 Balconies,"Pooja Room,Study Room,Servant Room",1 to 5 Year Old,10th   of 32 Floors,Semifurnished,North,2 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
6985,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-merlin-sector-67-gurgaon-2400-sq-ft-spid-N80540235,"M3M Merlin
Sector 67, Gurgaon",4.8 Cr,2400.0,3 Bedrooms,4 Bathrooms,3 Balconies,Servant Room,1 to 5 Year Old,12nd   of 21 Floors,Semifurnished,North-West,2 Covered,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
6986,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-heights-sector-65-gurgaon-2004-sq-ft-spid-S80448085,"M3M Heights
Sector 65, Gurgaon",3.8 Cr,2004.0,3 Bedrooms,3 Bathrooms,3 Balconies,"Servant Room,Study Room,Pooja Room",1 to 5 Year Old,21st   of 34 Floors,Semifurnished,East,2 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
6987,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-emerald-floors-premier-sector-65-gurgaon-1600-sq-ft-spid-G80135963,"Emaar MGF Emerald Floors Premier
Sector 65, Gurgaon",2.99 Cr,2000.0,3 Bedrooms,3 Bathrooms,3 Balconies,Study Room,1 to 5 Year Old,1st   of 5 Floors,Semifurnished,North,1 Covered,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
6988,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-orchard-avenue-sector-93-gurgaon-580-sq-ft-spid-W80108343,"Signature Global Orchard Avenue
Sector 93, Gurgaon",62 Lac,823.5999999999999,2 Bedrooms,2 Bathrooms,2 Balconies,,1 to 5 Year Old,7th   of 14 Floors,,North-East,1 Open,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']"
6989,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-signature-the-roselia-sector-95a-gurgaon-645-sq-ft-spid-U80171623,"Signature The Roselia
Sector 95A, Gurgaon",85 Lac,915.9,3 Bedrooms,2 Bathrooms,2 Balconies,,1 to 5 Year Old,12nd   of 19 Floors,Furnished,South-West,1 Open,"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park']"
6990,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-the-roselia-sector-95a-gurgaon-570-sq-ft-spid-H80099893,"Signature The Roselia
Sector 95A, Gurgaon",60 Lac,809.4,2 Bedrooms,2 Bathrooms,2 Balconies,,1 to 5 Year Old,5th   of 19 Floors,Unfurnished,South-West,1 Open,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Visitor Parking']"
6991,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-the-roselia-sector-95a-gurgaon-514-sq-ft-spid-G80100057,"Signature The Roselia
Sector 95A, Gurgaon",61 Lac,730.2633999999999,2 Bedrooms,2 Bathrooms,2 Balconies,,1 to 5 Year Old,6th   of 19 Floors,Semifurnished,South-West,,"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park']"
6992,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-the-roselia-sector-95a-gurgaon-950-sq-ft-spid-S80051163,"Signature The Roselia
Sector 95A, Gurgaon",65 Lac,950.0,2 Bedrooms,2 Bathrooms,2 Balconies,,1 to 5 Year Old,3rd   of 19 Floors,Semifurnished,North-West,1 Open,"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park']"
6993,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shree-vardhman-victoria-sector-70-gurgaon-1950-sq-ft-spid-L80100561,"Shree Vardhman Victoria
Sector 70, Gurgaon",2.55 Cr,1950.0,3 Bedrooms,4 Bathrooms,3 Balconies,Study Room,1 to 5 Year Old,7th   of 18 Floors,Semifurnished,North-East,,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
6994,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-omaxe-the-nile-uppals-southend-gurgaon-2082-sq-ft-spid-S79959937,"Omaxe The Nile
Uppals Southend, Gurgaon",3.1 Cr,2082.0,3 Bedrooms,3 Bathrooms,3+ Balconies,Servant Room,5 to 10 Year Old,10th   of 13 Floors,Semifurnished,North,1 Open,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
6995,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-landmark-towers-sector-51-gurgaon-2500-sq-ft-spid-V79719579,"Landmark Towers
Sector 51, Gurgaon",2.7 Cr,2500.0,3 Bedrooms,3 Bathrooms,3+ Balconies,Pooja Room,5 to 10 Year Old,1st   of 6 Floors,Unfurnished,West,"1 Covered, 1 Open","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting']"
6996,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-godrej-habitat-sector-3-gurgaon-1444-sq-ft-spid-H79878575,"Godrej Habitat
Sector 3, Gurgaon",1.4 Cr,1444.0,2 Bedrooms,2 Bathrooms,3 Balconies,,1 to 5 Year Old,5th   of 17 Floors,Semifurnished,,1 Covered,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Fitness Centre / GYM', 'Club house / Community Center']"
6997,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-godrej-meridien-sector-106-gurgaon-1500-sq-ft-spid-K79879755,"Godrej Meridien
Sector 106, Gurgaon",1.9 Cr,1500.0,2 Bedrooms,2 Bathrooms,3 Balconies,,0 to 1 Year Old,20th   of 34 Floors,,,1 Covered,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Piped-gas', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']"
6998,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-meridien-sector-106-gurgaon-2002-sq-ft-spid-A79880481,"Godrej Meridien
Sector 106, Gurgaon",3.1 Cr,2002.0,3 Bedrooms,3 Bathrooms,3+ Balconies,,0 to 1 Year Old,10th   of 34 Floors,,,1 Covered,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Piped-gas', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']"
7000,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-vatika-seven-elements-sector-89-a-gurgaon-1605-sq-ft-r1-spid-I78244763,"Vatika Seven Elements
Sector 89 A, Gurgaon",1.77 Cr,1605.0,2 Bedrooms,2 Bathrooms,2 Balconies,Servant Room,0 to 1 Year Old,11st   of 21 Floors,Semifurnished,East,1 Covered,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'No open drainage around', 'Recently Renovated', 'Swimming Pool', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
7002,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-skycourt-sector-86-gurgaon-1929-sq-ft-spid-J81372989,"DLF The Skycourt
Sector 86, Gurgaon",2.4 Cr,1929.0,3 Bedrooms,3 Bathrooms,1 Balcony,,1 to 5 Year Old,10th   of 19 Floors,Semifurnished,East,2 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
7003,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-skycourt-sector-86-gurgaon-1929-sq-ft-spid-Q81505083,"DLF The Skycourt
Sector 86, Gurgaon",2.25 Cr,1929.0,3 Bedrooms,3 Bathrooms,1 Balcony,Pooja Room,1 to 5 Year Old,7th   of 19 Floors,Semifurnished,North-East,2 Covered,"['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
7004,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-orchard-avenue-2-sector-93-gurgaon-577-sq-ft-spid-F81523613,"Signature Global Orchard Avenue 2
Sector 93, Gurgaon",65 Lac,819.4961999999999,2 Bedrooms,2 Bathrooms,3 Balconies,,1 to 5 Year Old,8th   of 14 Floors,Unfurnished,East,1 Open,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
7005,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sidhartha-ncr-one-phase-1-sector-95-gurgaon-2070-sq-ft-spid-U81346427,"Sidhartha NCR One Phase 1
Sector 95, Gurgaon",1.27 Cr,2070.0,3 Bedrooms,4 Bathrooms,3+ Balconies,Servant Room,1 to 5 Year Old,11st   of 17 Floors,Unfurnished,East,1 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
7006,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-new-town-heights-1-sector-90-gurgaon-2364-sq-ft-spid-W81501475,"DLF New Town Heights 1
Sector 90, Gurgaon",2.49 Cr,2364.0,4 Bedrooms,4 Bathrooms,3+ Balconies,"Servant Room,Pooja Room",1 to 5 Year Old,12nd   of 19 Floors,Unfurnished,East,2 Covered,"['Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
7007,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-city-2-sector-49-gurgaon-2400-sq-ft-spid-E81349193,"Bestech Park View City 2
Sector 49, Gurgaon",4.55 Cr,2400.0,4 Bedrooms,4 Bathrooms,3+ Balconies,Servant Room,5 to 10 Year Old,8th   of 14 Floors,Semifurnished,North,1 Covered,"['Water purifier', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
7008,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-spaze-privvy-the-address-sector-93-gurgaon-1805-sq-ft-spid-R81371949,"Spaze Privvy The Address
Sector 93, Gurgaon",1.73 Cr,1805.0,3 Bedrooms,4 Bathrooms,3+ Balconies,,1 to 5 Year Old,7th   of 19 Floors,Semifurnished,East,1 Covered,"['Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']"
7009,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-vatika-city-sector-49-gurgaon-2999-sq-ft-spid-J81365855,"Vatika City
Sector 49, Gurgaon",5.65 Cr,2999.18,4 Bedrooms,5 Bathrooms,3 Balconies,"Servant Room,Pooja Room",5 to 10 Year Old,3rd   of 5 Floors,Semifurnished,North-West,2 Covered,"['Water purifier', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
7010,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-city-sector-49-gurgaon-2253-sq-ft-spid-R81365151,"Vatika City
Sector 49, Gurgaon",3.85 Cr,2252.84,3 Bedrooms,4 Bathrooms,3+ Balconies,"Pooja Room,Servant Room",5 to 10 Year Old,2nd   of 3 Floors,Semifurnished,West,1 Covered,"['Water purifier', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
7011,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-city-sector-49-gurgaon-2412-sq-ft-spid-D81421931,"Vatika City
Sector 49, Gurgaon",4.25 Cr,2412.0,3 Bedrooms,4 Bathrooms,3+ Balconies,"Pooja Room,Servant Room",5 to 10 Year Old,7th   of 7 Floors,Semifurnished,South-East,2 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
7012,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-city-sector-49-gurgaon-1881-sq-ft-spid-D81395043,"Vatika City
Sector 49, Gurgaon",3.3 Cr,1881.15,3 Bedrooms,3 Bathrooms,3 Balconies,Pooja Room,5 to 10 Year Old,Ground of 8 Floors,Semifurnished,West,2 Covered,"['Water purifier', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
7013,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-skycourt-sector-86-gurgaon-1929-sq-ft-spid-L81390575,"DLF The Skycourt
Sector 86, Gurgaon",2.4 Cr,1929.0,3 Bedrooms,3 Bathrooms,1 Balcony,Pooja Room,1 to 5 Year Old,14th   of 19 Floors,Semifurnished,East,2 Covered,"['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
