,link,address,price,super_area,bedrooms,bathroom,balcony,additional_rooms,age_possession,floor,furnishing_type,facing,num_parking,features
71,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-proxima-sector-89-gurgaon-602-sq-ft-spid-X81400053,"Signature Global Proxima
Sector 89, Gurgaon",65 Lac,602.0,2 Bedrooms,2 Bathrooms,2 Balconies,,1 to 5 Year Old,3rd   of 19 Floors,Semifurnished,East,,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Private Garden / Terrace', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
72,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-emilia-floors-sector-83-gurgaon-2160-sq-ft-spid-K81392091,"Vatika Emilia Floors
Sector 83, Gurgaon",1.62 Cr,240.0,3 Bedrooms,3 Bathrooms,3 Balconies,,1 to 5 Year Old,Ground of 2 Floors,Semifurnished,East,"1 Covered, 2 Open","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
74,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-summit-sector-104-gurgaon-1047-sq-ft-spid-J81163927,"Godrej Summit
Sector 104, Gurgaon",1.49 Cr,138.2228,3 Bedrooms,4 Bathrooms,3+ Balconies,,1 to 5 Year Old,11st   of 17 Floors,Semifurnished,North,"1 Covered, 1 Open","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
76,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-trisara-our-homes-3-sohna-gurgaon-629-sq-ft-spid-T81415599,"Trisara Our Homes 3
Sohna, Gurgaon",65 Lac,893.18,2 Bedrooms,2 Bathrooms,1 Balcony,Others,0 to 1 Year Old,1st   of 6 Floors,Semifurnished,North,1 Open,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
77,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-green-court-sector-90-gurgaon-700-sq-ft-r1-spid-X78495311,"Green Court
Sector 90, Gurgaon",72 Lac,994.0,2 Bedrooms,2 Bathrooms,1 Balcony,,0 to 1 Year Old,3rd   of 14 Floors,Semifurnished,,"1 Covered, 1 Open","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Park', 'Shopping Centre']"
78,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-park-sohna-gurgaon-822-sq-ft-spid-P81415055,"Signature Global Park
Sohna, Gurgaon",90 Lac,822.0,2 Bedrooms,2 Bathrooms,3 Balconies,Others,0 to 1 Year Old,4th   of 4 Floors,Semifurnished,East,"1 Covered, 1 Open","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
79,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-aristocrat-sector-49-gurgaon-1997-sq-ft-spid-Z81414549,"Godrej Aristocrat
Sector 49, Gurgaon",3.9 Cr,1997.0,3 Bedrooms,3 Bathrooms,3 Balconies,,By 2028,12nd   of 31 Floors,Semifurnished,North,2 Covered,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']"
80,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tulip-violet-sector-69-gurgaon-1538-sq-ft-spid-C81414261,"Tulip Violet
Sector 69, Gurgaon",2.4 Cr,2183.96,3 Bedrooms,4 Bathrooms,3+ Balconies,,1 to 5 Year Old,12nd   of 14 Floors,Semifurnished,East,,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
81,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pivotal-devaan-sector-84-gurgaon-760-sq-ft-spid-F81414091,"Pivotal Devaan
Sector 84, Gurgaon",68 Lac,760.0,2 Bedrooms,2 Bathrooms,1 Balcony,,1 to 5 Year Old,3rd   of 14 Floors,Furnished,North-East,2 Open,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Club house / Community Center']"
82,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-adani-brahma-samsara-vilasa-sector-63-gurgaon-2087-sq-ft-r2-spid-A75697583,"Adani Brahma Samsara Vilasa
Sector 63, Gurgaon",4.25 Cr,2608.75,3 Bedrooms,3 Bathrooms,3+ Balconies,Others,1 to 5 Year Old,2nd   of 4 Floors,Semifurnished,,2 Open,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']"
